Th232, 90, 232
232Th, 90, 232
Ra228, 88, 228
228Ra, 88, 228
Ac228, 89, 228
228Ac, 89, 228
Th228, 90, 228
228Th, 90, 228
Ra224, 88, 224
224Ra, 88, 224
Rn220, 86, 220
220Rn, 86, 220
Po216, 84, 216
216Po, 84, 216
Pb212, 82, 212
212Pb, 82, 212
Bi212, 83, 212
212Bi, 83, 212
Po212, 84, 212
212Po, 84, 212
Tl208, 81, 208
208Tl, 81, 208
U238,  92, 238
238U, 92, 238
Th234, 90, 234
234Th, 90, 234
Pa234m, 91, 234
234mPa, 91, 234
U234,  92, 234
234U, 92, 234
Th230, 90, 230
230Th, 90, 230
Ra226, 88, 226
226Ra, 88, 226
Rn222, 86, 222
222Rn, 86, 222
Po218, 84, 218
218Po, 84, 218
Pb214, 82, 214
214Pb, 82, 214
Bi214, 83, 214
214Bi, 83, 214
Po214, 84, 214
214Po, 84, 214
Tl210, 81, 210
210Tl, 81, 210
Pb210, 82, 210
210Pb, 82, 210
Bi210, 83, 210
210Bi, 83, 210
Po210, 84, 210
210Po, 84, 210
Tl206, 81, 206
206Tl, 81, 206
U235, 92, 235
235U, 92, 235
Th231, 90, 231
231Th, 90, 231
Pa231, 91, 231
231Pa, 91, 231
Ac227, 89, 227
227Ac, 89, 227
Th227, 90, 227
227Th, 90, 227
Ra223, 88, 223
223Ra, 88, 223
Rn219, 86, 219
219Rn, 86, 219
Po215, 84, 215
215Po, 84, 215
Pb211, 82, 211
211Pb, 82, 211
Bi211, 83, 211
211Bi, 83, 211
Tl207, 81, 207
207Tl, 81, 207
K40, 19, 40
40K, 19, 40
Cs137, 55, 137
137Cs, 55, 137
Co60, 27, 60
60Co, 27, 60
La138, 75, 138
138La, 75, 138
Co58, 27, 58
58Co, 27, 58
Mn54, 25, 54
54Mn, 25, 54
